[2024-12-06 14:04:29,777] INFO in init_db: ²âÊÔÖ°Î»´´½¨Íê³É
[2024-12-06 14:04:29,778] INFO in init_db: ³õÊ¼Êý¾Ý´´½¨Íê³É
[2024-12-06 14:04:29,780] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 14:06:16,936] INFO in __init__: Application startup
[2024-12-06 14:06:17,575] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2024-12-06 14:06:17,576] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-06 14:06:17,580] INFO in _internal:  * Restarting with stat
[2024-12-06 14:06:18,448] INFO in __init__: Application startup
[2024-12-06 14:06:19,160] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:06:19,176] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:06:55,476] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:06:55] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:06:56,196] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:06:56] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 14:07:25,326] INFO in __init__: Application startup
[2024-12-06 14:07:25,991] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2024-12-06 14:07:25,993] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-06 14:07:25,997] INFO in _internal:  * Restarting with stat
[2024-12-06 14:07:26,869] INFO in __init__: Application startup
[2024-12-06 14:07:27,525] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:07:27,536] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:12:56,677] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:12:56] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:12:57,410] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:12:57] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 14:13:51,770] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\app\\services\\auth_service.py', reloading
[2024-12-06 14:13:51,931] INFO in _internal:  * Restarting with stat
[2024-12-06 14:13:53,031] INFO in __init__: Application startup
[2024-12-06 14:13:53,759] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:13:53,779] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:14:08,092] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\app\\services\\auth_service.py', reloading
[2024-12-06 14:14:08,247] INFO in _internal:  * Restarting with stat
[2024-12-06 14:14:09,161] INFO in __init__: Application startup
[2024-12-06 14:14:09,845] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:14:09,856] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:17:56,511] INFO in __init__: Application startup
[2024-12-06 14:17:57,128] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2024-12-06 14:17:57,130] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-06 14:17:57,134] INFO in _internal:  * Restarting with stat
[2024-12-06 14:17:57,954] INFO in __init__: Application startup
[2024-12-06 14:17:58,645] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:17:58,659] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:18:58,607] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:18:58] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:18:59,306] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:18:59] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 14:19:11,333] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:19:11] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:19:11,910] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:19:11] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 14:20:59,368] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\config.py', reloading
[2024-12-06 14:20:59,569] INFO in _internal:  * Restarting with stat
[2024-12-06 14:21:00,634] INFO in __init__: Application startup
[2024-12-06 14:21:01,459] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:21:01,481] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:25:16,901] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:25:16] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:25:17,672] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:25:17] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 14:25:27,754] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:25:27] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:25:28,374] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:25:28] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 14:27:28,956] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\app\\routes\\auth.py', reloading
[2024-12-06 14:27:29,144] INFO in _internal:  * Restarting with stat
[2024-12-06 14:27:30,149] INFO in __init__: Application startup
[2024-12-06 14:27:30,804] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:27:30,816] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:27:52,281] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\app\\services\\auth_service.py', reloading
[2024-12-06 14:27:52,421] INFO in _internal:  * Restarting with stat
[2024-12-06 14:27:53,322] INFO in __init__: Application startup
[2024-12-06 14:27:53,993] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:27:54,007] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:28:14,253] INFO in __init__: Application startup
[2024-12-06 14:28:14,898] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2024-12-06 14:28:14,899] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-06 14:28:14,903] INFO in _internal:  * Restarting with stat
[2024-12-06 14:28:15,953] INFO in __init__: Application startup
[2024-12-06 14:28:16,657] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:28:16,679] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:28:31,595] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:28:31] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:28:31,998] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:28:31] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 14:30:51,523] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:30:51] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:30:51,873] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:30:51] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 14:31:11,845] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:31:11] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:31:12,221] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:31:12] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 14:32:10,804] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\app\\__init__.py', reloading
[2024-12-06 14:32:10,976] INFO in _internal:  * Restarting with stat
[2024-12-06 14:32:11,954] INFO in __init__: Application startup
[2024-12-06 14:32:12,612] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:32:12,628] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:32:48,373] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\app\\services\\auth_service.py', reloading
[2024-12-06 14:32:48,517] INFO in _internal:  * Restarting with stat
[2024-12-06 14:32:49,491] INFO in __init__: Application startup
[2024-12-06 14:32:50,171] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:32:50,188] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:34:25,747] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:34:25] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:34:26,063] INFO in auth_service: ³¢ÊÔµÇÂ¼ÓÃ»§: admin
[2024-12-06 14:34:26,157] ERROR in auth_service: µÇÂ¼·þÎñ´íÎó: 'User' object has no attribute 'check_password'
Traceback (most recent call last):
  File "D:\personnel_management1\backend\app\services\auth_service.py", line 62, in login
    if not user.check_password(password):
AttributeError: 'User' object has no attribute 'check_password'
[2024-12-06 14:34:26,161] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:34:26] "[31m[1mPOST /api/auth/login HTTP/1.1[0m" 401 -
[2024-12-06 14:34:38,052] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:34:38] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:34:38,056] INFO in auth_service: ³¢ÊÔµÇÂ¼ÓÃ»§: admin
[2024-12-06 14:34:38,061] ERROR in auth_service: µÇÂ¼·þÎñ´íÎó: 'User' object has no attribute 'check_password'
Traceback (most recent call last):
  File "D:\personnel_management1\backend\app\services\auth_service.py", line 62, in login
    if not user.check_password(password):
AttributeError: 'User' object has no attribute 'check_password'
[2024-12-06 14:34:38,068] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:34:38] "[31m[1mPOST /api/auth/login HTTP/1.1[0m" 401 -
[2024-12-06 14:37:58,684] INFO in __init__: Application startup
[2024-12-06 14:37:59,334] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2024-12-06 14:37:59,336] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-06 14:37:59,340] INFO in _internal:  * Restarting with stat
[2024-12-06 14:38:00,169] INFO in __init__: Application startup
[2024-12-06 14:38:00,833] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:38:00,845] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:39:44,530] INFO in __init__: Application startup
[2024-12-06 14:39:45,543] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2024-12-06 14:39:45,546] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-06 14:39:45,551] INFO in _internal:  * Restarting with stat
[2024-12-06 14:39:46,813] INFO in __init__: Application startup
[2024-12-06 14:39:47,484] WARNING in _internal:  * Debugger is active!
[2024-12-06 14:39:47,496] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 14:42:02,535] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:42:02] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 14:42:02,845] INFO in auth_service: ³¢ÊÔµÇÂ¼ÓÃ»§: admin
[2024-12-06 14:42:02,954] ERROR in auth_service: µÇÂ¼·þÎñ´íÎó: 'User' object has no attribute 'check_password'
Traceback (most recent call last):
  File "D:\personnel_management1\backend\app\services\auth_service.py", line 62, in login
    if not user.check_password(password):
AttributeError: 'User' object has no attribute 'check_password'
[2024-12-06 14:42:02,959] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 14:42:02] "[31m[1mPOST /api/auth/login HTTP/1.1[0m" 401 -
[2024-12-06 14:42:17,528] INFO in __init__: Application startup
